t_ns,core,freq_khz
1785960953163756022,7,3700038
1785960953264382582,0,3604962
1785960953264382582,1,3605144
1785960953264382582,2,3654040
1785960953264382582,3,3605282
1785960953264382582,4,3620557
1785960953264382582,5,3609714
1785960953264382582,6,1846358
1785960953264382582,7,3605151
1785960953364780649,0,3800000
1785960953364780649,1,3800038
1785960953364780649,2,3800000
1785960953364780649,3,3800000
1785960953364780649,4,3800000
1785960953364780649,5,3800301
1785960953364780649,6,3800000
1785960953364780649,7,3800000
1785960953465194851,0,3600000
1785960953465194851,1,3600000
1785960953465194851,2,3600049
1785960953465194851,3,3600000
1785960953465194851,4,3600038
1785960953465194851,5,3599952
1785960953465194851,6,3600000
1785960953465194851,7,3599940
1785960953565633429,0,3500000
1785960953565633429,1,3500000
1785960953565633429,2,3500000
1785960953565633429,3,3500000
1785960953565633429,4,3500000
1785960953565633429,5,3499478
1785960953565633429,6,3500000
1785960953565633429,7,3500000
1785960953666128966,0,3800000
1785960953666128966,1,3799568
1785960953666128966,2,1286733
1785960953666128966,3,3800000
1785960953666128966,4,3801238
1785960953666128966,5,3807630
1785960953666128966,6,1975206
1785960953666128966,7,3807142
1785960953766552178,0,3800000
1785960953766552178,1,3800000
1785960953766552178,2,2731987
1785960953766552178,3,1908341
1785960953766552178,4,3800000
1785960953766552178,5,3699962
1785960953766552178,6,3272445
1785960953766552178,7,3191224
1785960953866954256,0,3900039
1785960953866954256,1,3899960
1785960953866954256,2,906692
1785960953866954256,3,1416121
1785960953866954256,4,3900000
1785960953866954256,5,3900000
1785960953866954256,6,2064048
1785960953866954256,7,3900039
1785960953967368279,0,3899960
1785960953967368279,1,3900000
1785960953967368279,2,3296004
1785960953967368279,3,2995070
1785960953967368279,4,3899560
1785960953967368279,5,3900000
1785960953967368279,6,3121952
1785960953967368279,7,3746029
1785960954067818790,0,3600036
1785960954067818790,1,3600000
1785960954067818790,2,3092989
1785960954067818790,3,400000
1785960954067818790,4,3600000
1785960954067818790,5,3600000
1785960954067818790,6,3358441
1785960954067818790,7,3122273
1785960954168146998,0,3700037
1785960954168146998,1,3700000
1785960954168146998,2,3700000
1785960954168146998,3,3700000
1785960954168146998,4,3700000
1785960954168146998,5,3700000
1785960954168146998,6,3699808
1785960954168146998,7,3497602
1785960954268556416,0,3800038
1785960954268556416,1,3800000
1785960954268556416,2,2522820
1785960954268556416,3,2907022
1785960954268556416,4,3800000
1785960954268556416,5,3800000
1785960954268556416,6,3142084
1785960954268556416,7,3149864
1785960954368865084,0,3900000
1785960954368865084,1,3900000
1785960954368865084,2,3131293
1785960954368865084,3,400000
1785960954368865084,4,3900060
1785960954368865084,5,3885343
1785960954368865084,6,550405
1785960954368865084,7,428804
1785960954469198123,0,3700037
1785960954469198123,1,3699962
1785960954469198123,2,3234483
1785960954469198123,3,2983551
1785960954469198123,4,3699941
1785960954469198123,5,3700163
1785960954469198123,6,3519655
1785960954469198123,7,3498207
1785960954569542613,0,3900000
1785960954569542613,1,3900039
1785960954569542613,2,2503000
1785960954569542613,3,1592718
1785960954569542613,4,3900264
1785960954569542613,5,3899506
1785960954569542613,6,3900000
1785960954569542613,7,3900000
1785960954669857975,0,3900000
1785960954669857975,1,3900039
1785960954669857975,2,3310783
1785960954669857975,3,3821468
1785960954669857975,4,3900000
1785960954669857975,5,3619132
1785960954669857975,6,1289951
1785960954669857975,7,2364187
1785960954770161528,0,3700000
1785960954770161528,1,3700000
1785960954770161528,2,3699561
1785960954770161528,3,3700000
1785960954770161528,4,3699744
1785960954770161528,5,3710846
1785960954770161528,6,3702788
1785960954770161528,7,3706512
1785960954870513737,0,3800000
1785960954870513737,1,3800038
1785960954870513737,2,776765
1785960954870513737,3,3800038
1785960954870513737,4,3712729
1785960954870513737,5,3700000
1785960954870513737,6,3704575
1785960954870513737,7,3792883
1785960954970877956,0,3750771
1785960954970877956,1,3750732
1785960954970877956,2,3710324
1785960954970877956,3,3435095
1785960954970877956,4,3707316
1785960954970877956,5,3709856
1785960954970877956,6,3761593
1785960954970877956,7,3709857
1785960955071271923,0,3757748
1785960955071271923,1,3700037
1785960955071271923,2,2886567
1785960955071271923,3,3399049
1785960955071271923,4,3698760
1785960955071271923,5,3700000
1785960955071271923,6,2929211
1785960955071271923,7,3040270
1785960955171587175,0,3606464
1785960955171587175,1,3606587
1785960955171587175,2,1904733
1785960955171587175,3,2288540
1785960955171587175,4,3617931
1785960955171587175,5,3604627
1785960955171587175,6,3072145
1785960955171587175,7,2326980
1785960955271912995,0,3700037
1785960955271912995,1,3700037
1785960955271912995,2,2999189
1785960955271912995,3,3035245
1785960955271912995,4,3700000
1785960955271912995,5,3699897
1785960955271912995,6,2595657
1785960955271912995,7,3143169
1785960955372233068,0,3500000
1785960955372233068,1,3499965
1785960955372233068,2,3500045
1785960955372233068,3,3075858
1785960955372233068,4,3499870
1785960955372233068,5,3500045
1785960955372233068,6,3500000
1785960955372233068,7,3500125
1785960955472614311,0,3680431
1785960955472614311,1,3680360
